category,month,actual_flow_billions,forecast_flow_billions,variance_billions,calibrated_threshold_billions,flagged,flag_reason,commentary,has_known_driver
Bond,2025-01-01,9,,,49.2,False,,,False
Bond,2025-02-01,14,,,49.2,False,,,False
Bond,2025-03-01,-7,,,49.2,False,,,False
Bond,2025-04-01,-66,5.333333333333333,-71.33333333333333,49.2,True,$71B below trend forecast (threshold: $49B),Bond net flow was $71B below trend forecast (threshold: $49B) in April 2025. Driver: pending analyst review — no known one-off cause on file.,False
Bond,2025-05-01,21,-19.666666666666668,40.66666666666667,49.2,False,,,False
Bond,2025-06-01,14,-17.333333333333332,31.33333333333333,49.2,False,,,False
Bond,2025-07-01,37,-10.333333333333334,47.333333333333336,49.2,False,,,False
Bond,2025-08-01,16,24.0,-8.0,49.2,False,,,False
Bond,2025-09-01,28,22.33333333333333,5.666666666666668,49.2,False,,,False
Bond,2025-10-01,20,27.0,-7.0,49.2,False,,,False
Bond,2025-11-01,8,21.33333333333333,-13.333333333333332,49.2,False,,,False
Bond,2025-12-01,15,18.666666666666668,-3.666666666666668,49.2,False,,,False
Equity,2025-01-01,-62,,,223.7,False,,,False
Equity,2025-02-01,-55,,,223.7,False,,,False
Equity,2025-03-01,-66,,,223.7,False,,,False
Equity,2025-04-01,-39,-61.0,22.0,223.7,False,,,False
Equity,2025-05-01,-57,-53.333333333333336,-3.666666666666664,223.7,False,,,False
Equity,2025-06-01,-75,-54.0,-21.0,223.7,False,,,False
Equity,2025-07-01,-367,-57.0,-310.0,223.7,True,$310B below trend forecast (threshold: $224B),"Equity net flow was $310B below trend forecast (threshold: $224B) in July 2025. Driver: ICI Fact Book: outflow driven by activity in a handful of collective investment trusts (CITs), not individual investor redemptions (Fig. 3.4 footnote).",True
Equity,2025-08-01,-74,-166.33333333333334,92.33333333333334,223.7,False,,,False
Equity,2025-09-01,-94,-172.0,78.0,223.7,False,,,False
Equity,2025-10-01,-117,-178.33333333333334,61.33333333333334,223.7,False,,,False
Equity,2025-11-01,-80,-95.0,15.0,223.7,False,,,False
Equity,2025-12-01,-149,-97.0,-52.0,223.7,False,,,False
MoneyMarket,2025-01-01,15,,,124.5,False,,,False
MoneyMarket,2025-02-01,79,,,124.5,False,,,False
MoneyMarket,2025-03-01,-24,,,124.5,False,,,False
MoneyMarket,2025-04-01,-82,23.33333333333333,-105.33333333333331,124.5,False,,,False
MoneyMarket,2025-05-01,66,-9.0,75.0,124.5,False,,,False
MoneyMarket,2025-06-01,12,-13.333333333333334,25.333333333333336,124.5,False,,,False
MoneyMarket,2025-07-01,49,-1.3333333333333333,50.333333333333336,124.5,False,,,False
MoneyMarket,2025-08-01,104,42.333333333333336,61.66666666666666,124.5,False,,,False
MoneyMarket,2025-09-01,84,55.0,29.0,124.5,False,,,False
MoneyMarket,2025-10-01,128,79.0,49.0,124.5,False,,,False
MoneyMarket,2025-11-01,86,105.33333333333331,-19.33333333333333,124.5,False,,,False
MoneyMarket,2025-12-01,154,99.33333333333331,54.66666666666667,124.5,False,,,False
