category,month,net_flow_billions
Equity,2025-01,-62
Equity,2025-02,-55
Equity,2025-03,-66
Equity,2025-04,-39
Equity,2025-05,-57
Equity,2025-06,-75
Equity,2025-07,-367
Equity,2025-08,-74
Equity,2025-09,-94
Equity,2025-10,-117
Equity,2025-11,-80
Equity,2025-12,-149
Bond,2025-01,9
Bond,2025-02,14
Bond,2025-03,-7
Bond,2025-04,-66
Bond,2025-05,21
Bond,2025-06,14
Bond,2025-07,37
Bond,2025-08,16
Bond,2025-09,28
Bond,2025-10,20
Bond,2025-11,8
Bond,2025-12,15
MoneyMarket,2025-01,15
MoneyMarket,2025-02,79
MoneyMarket,2025-03,-24
MoneyMarket,2025-04,-82
MoneyMarket,2025-05,66
MoneyMarket,2025-06,12
MoneyMarket,2025-07,49
MoneyMarket,2025-08,104
MoneyMarket,2025-09,84
MoneyMarket,2025-10,128
MoneyMarket,2025-11,86
MoneyMarket,2025-12,154
