category,month,net_flow_billions,forecast,variance_vs_forecast,variance_vs_forecast_pct
Bond,2025-01-01,9,,,
Bond,2025-02-01,14,,,
Bond,2025-03-01,-7,,,
Bond,2025-04-01,-66,5.333333333333333,-71.33333333333333,-13.375
Bond,2025-05-01,21,-19.666666666666668,40.66666666666667,2.067796610169492
Bond,2025-06-01,14,-17.333333333333332,31.333333333333332,1.8076923076923077
Bond,2025-07-01,37,-10.333333333333334,47.333333333333336,4.580645161290323
Bond,2025-08-01,16,24.0,-8.0,-0.3333333333333333
Bond,2025-09-01,28,22.333333333333332,5.666666666666668,0.25373134328358216
Bond,2025-10-01,20,27.0,-7.0,-0.25925925925925924
Bond,2025-11-01,8,21.333333333333332,-13.333333333333332,-0.625
Bond,2025-12-01,15,18.666666666666668,-3.666666666666668,-0.19642857142857148
Equity,2025-01-01,-62,,,
Equity,2025-02-01,-55,,,
Equity,2025-03-01,-66,,,
Equity,2025-04-01,-39,-61.0,22.0,0.36065573770491804
Equity,2025-05-01,-57,-53.333333333333336,-3.6666666666666643,-0.06874999999999995
Equity,2025-06-01,-75,-54.0,-21.0,-0.3888888888888889
Equity,2025-07-01,-367,-57.0,-310.0,-5.43859649122807
Equity,2025-08-01,-74,-166.33333333333334,92.33333333333334,0.5551102204408818
Equity,2025-09-01,-94,-172.0,78.0,0.45348837209302323
Equity,2025-10-01,-117,-178.33333333333334,61.33333333333334,0.34392523364485983
Equity,2025-11-01,-80,-95.0,15.0,0.15789473684210525
Equity,2025-12-01,-149,-97.0,-52.0,-0.5360824742268041
MoneyMarket,2025-01-01,15,,,
MoneyMarket,2025-02-01,79,,,
MoneyMarket,2025-03-01,-24,,,
MoneyMarket,2025-04-01,-82,23.333333333333332,-105.33333333333333,-4.514285714285714
MoneyMarket,2025-05-01,66,-9.0,75.0,8.333333333333334
MoneyMarket,2025-06-01,12,-13.333333333333334,25.333333333333336,1.9000000000000001
MoneyMarket,2025-07-01,49,-1.3333333333333333,50.333333333333336,37.75000000000001
MoneyMarket,2025-08-01,104,42.333333333333336,61.666666666666664,1.4566929133858266
MoneyMarket,2025-09-01,84,55.0,29.0,0.5272727272727272
MoneyMarket,2025-10-01,128,79.0,49.0,0.620253164556962
MoneyMarket,2025-11-01,86,105.33333333333333,-19.33333333333333,-0.1835443037974683
MoneyMarket,2025-12-01,154,99.33333333333333,54.66666666666667,0.5503355704697988
